DENSITY,INSTANCE,VALOR,TIEMPO(ms)
0.7,18,8,0.000344157
0.7,19,9,0.000352245
0.7,20,8,0.000294756
0.7,21,7,0.00026044
0.7,22,8,0.000276176
0.7,23,7,0.000255008
0.7,24,8,0.000273785
0.7,25,7,0.000286067
0.7,26,7,0.000260552
0.7,27,8,0.000280084
0.7,28,8,0.00037263
0.7,29,7,0.000280531
0.7,30,8,0.000304631
0.8,1,6,0.000251732
0.8,2,6,0.000258171
0.8,3,6,0.00029743
0.8,4,6,0.000335205
0.8,5,6,0.000252795
0.8,6,7,0.000269622
0.8,7,6,0.000226069
0.8,8,5,0.000284394
0.8,9,6,0.000290486
0.8,10,7,0.000320833
0.8,11,6,0.000225322
0.8,12,7,0.000397521
0.8,13,6,0.000257942
0.8,14,7,0.000261943
0.8,15,6,0.000256323
0.8,16,7,0.000290354
0.8,17,6,0.000225318
0.8,18,6,0.000241373
0.8,19,5,0.0002014
0.8,20,6,0.000219438
0.8,21,6,0.000225266
0.8,22,7,0.000260766
0.8,23,5,0.000205922
0.8,24,6,0.000224204
0.8,25,6,0.00021791
0.8,26,7,0.000256377
0.8,27,6,0.000229314
0.8,28,7,0.000285031
0.8,29,6,0.000244129
0.8,30,7,0.000259424
0.9,1,5,0.00022267
0.9,2,5,0.000240612
0.9,3,5,0.000208962
0.9,4,5,0.000348076
0.9,5,5,0.000217103
0.9,6,5,0.000203748
0.9,7,5,0.000218961
0.9,8,5,0.00020793
0.9,9,5,0.000212733
0.9,10,5,0.000209593
0.9,11,6,0.000337037
0.9,12,5,0.000385954
0.9,13,4,0.000284049
0.9,14,5,0.000209919
0.9,15,5,0.000227719
0.9,16,4,0.000174018
0.9,17,6,0.00036803
0.9,18,5,0.000291363
0.9,19,5,0.000288042
0.9,20,4,0.0002271
0.9,21,5,0.000236337
0.9,22,5,0.000210811
0.9,23,4,0.000187256
0.9,24,5,0.000203869
0.9,25,5,0.000353148
0.9,26,5,0.000220659
0.9,27,5,0.000291016
0.9,28,5,0.000232637
0.9,29,5,0.00020948
0.9,30,5,0.000209293
