DENSITY,INSTANCE,VALOR,TIEMPO(ms)
0.3,26,20,0.000876386
0.3,27,21,0.00107486
0.3,28,21,0.00093993
0.3,29,23,0.00113758
0.3,30,20,0.000887602
0.4,1,16,0.00118137
0.4,2,17,0.00127503
0.4,3,18,0.00105736
0.4,4,15,0.000971648
0.4,5,17,0.00101253
0.4,6,16,0.000913286
0.4,7,17,0.00110844
0.4,8,18,0.00103672
0.4,9,15,0.000913217
0.4,10,18,0.00103892
0.4,11,17,0.0011238
0.4,12,16,0.000927452
0.4,13,17,0.00100018
0.4,14,17,0.000990504
0.4,15,16,0.000935735
0.4,16,18,0.00184245
0.4,17,16,0.00107332
0.4,18,15,0.00102867
0.4,19,16,0.00138532
0.4,20,15,0.0013151
0.4,21,16,0.00108756
0.4,22,15,0.000912053
0.4,23,15,0.00112497
0.4,24,15,0.000984034
0.4,25,16,0.000929029
0.4,26,17,0.00145187
0.4,27,19,0.00164658
0.4,28,16,0.00093079
0.4,29,17,0.00105896
0.4,30,15,0.000964034
0.5,1,12,0.000864508
0.5,2,13,0.000991702
0.5,3,13,0.000979425
0.5,4,13,0.00091548
0.5,5,12,0.00103358
0.5,6,14,0.00145255
0.5,7,12,0.000918737
0.5,8,12,0.00166333
0.5,9,11,0.000882632
0.5,10,12,0.000915169
0.5,11,13,0.000908062
0.5,12,12,0.000954402
0.5,13,14,0.00132475
0.5,14,14,0.00110041
0.5,15,13,0.00158559
0.5,16,12,0.000866048
0.5,17,13,0.00123164
0.5,18,12,0.000871963
0.5,19,12,0.000973655
0.5,20,14,0.00129838
0.5,21,13,0.00108146
0.5,22,13,0.000957858
0.5,23,12,0.00100942
0.5,24,14,0.00127581
0.5,25,12,0.000996371
0.5,26,13,0.00103807
0.5,27,12,0.0011984
0.5,28,12,0.00116288
0.5,29,14,0.00108668
0.5,30,13,0.0011035
0.6,1,10,0.00102871
0.6,2,9,0.00103672
0.6,3,9,0.00116645
0.6,4,10,0.00117062
0.6,5,10,0.00100192
0.6,6,11,0.00094994
0.6,7,10,0.000911019
0.6,8,10,0.000835462
0.6,9,10,0.000910771
0.6,10,10,0.000957944
0.6,11,10,0.00101536
0.6,12,9,0.000848604
0.6,13,10,0.00180373
0.6,14,11,0.000958629
0.6,15,9,0.000778101
0.6,16,11,0.00104472
0.6,17,12,0.00106084
0.6,18,9,0.00091629
0.6,19,12,0.00102613
0.6,20,10,0.000839053
0.6,21,10,0.00092284
0.6,22,10,0.000870899
0.6,23,10,0.000858095
0.6,24,10,0.000837187
0.6,25,10,0.000877358
0.6,26,12,0.00102667
0.6,27,11,0.000949361
0.6,28,10,0.000876212
0.6,29,9,0.000778556
0.6,30,11,0.000930392
0.7,1,9,0.000868199
0.7,2,9,0.00126214
0.7,3,9,0.0010171
0.7,4,8,0.000858139
0.7,5,8,0.000854826
0.7,6,9,0.000938163
0.7,7,7,0.000698399
0.7,8,8,0.00115526
0.7,9,9,0.00118289
0.7,10,8,0.00106982
0.7,11,8,0.000924399
0.7,12,9,0.00145934
0.7,13,9,0.00116374
0.7,14,9,0.00107569
0.7,15,7,0.000712736
0.7,16,10,0.00137325
0.7,17,7,0.000701025
0.7,18,8,0.000977789
0.7,19,9,0.00100834
0.7,20,8,0.00092865
0.7,21,9,0.000920225
0.7,22,8,0.000824615
0.7,23,8,0.000818851
0.7,24,8,0.000824355
0.7,25,8,0.000855991
0.7,26,9,0.000910997
0.7,27,8,0.00116732
0.7,28,9,0.00101039
0.7,29,9,0.00122756
0.7,30,9,0.00107564
0.8,1,6,0.000682267
0.8,2,6,0.000790669
0.8,3,9,0.00103792
0.8,4,7,0.00100298
0.8,5,6,0.00073331
0.8,6,7,0.00104801
0.8,7,7,0.00106842
0.8,8,7,0.000790978
0.8,9,6,0.00078886
0.8,10,8,0.000956862
0.8,11,7,0.000811166
0.8,12,7,0.00108384
0.8,13,7,0.00083411
0.8,14,6,0.00094767
0.8,15,7,0.00109955
0.8,16,7,0.000806858
0.8,17,7,0.0010477
0.8,18,7,0.000928041
0.8,19,6,0.000752549
0.8,20,7,0.00105046
0.8,21,7,0.000827743
0.8,22,6,0.000743657
0.8,23,7,0.00076545
0.8,24,7,0.000823503
0.8,25,8,0.00102414
0.8,26,7,0.000796137
0.8,27,6,0.000872465
0.8,28,7,0.000944039
0.8,29,7,0.000805467
0.8,30,6,0.000896436
0.9,1,5,0.00067652
0.9,2,6,0.000751537
0.9,3,5,0.000711976
0.9,4,6,0.000792062
0.9,5,5,0.000674291
0.9,6,5,0.000621528
0.9,7,6,0.000753926
0.9,8,5,0.000664714
0.9,9,5,0.000613471
0.9,10,5,0.000633312
0.9,11,6,0.00105652
0.9,12,5,0.000627639
0.9,13,5,0.000684869
0.9,14,5,0.000625717
0.9,15,6,0.00077759
0.9,16,5,0.000613856
0.9,17,6,0.00105262
0.9,18,5,0.000706564
0.9,19,5,0.000695157
0.9,20,5,0.000629506
0.9,21,6,0.000988034
0.9,22,5,0.000757205
0.9,23,5,0.00067799
0.9,24,5,0.000829564
0.9,25,5,0.000692586
0.9,26,6,0.000865098
0.9,27,6,0.000927491
0.9,28,5,0.000729412
0.9,29,5,0.000753366
0.9,30,6,0.000821447
