DENSITY,INSTANCE,VALOR,TIEMPO(ms)
0.1,1,62,0.000934401
0.1,2,60,0.00108226
0.1,3,59,0.00104538
0.1,4,64,0.00096144
0.1,5,58,0.000956751
0.1,6,63,0.000955219
0.1,7,61,0.00092366
0.1,8,60,0.00125547
0.1,9,59,0.00104428
0.1,10,62,0.001033
0.1,11,59,0.000879974
0.1,12,57,0.00165917
0.1,13,57,0.000862269
0.1,14,60,0.000865869
0.1,15,59,0.000973115
0.1,16,63,0.000928188
0.1,17,57,0.000866748
0.1,18,60,0.000894911
0.1,19,60,0.00090197
0.1,20,59,0.00115428
0.1,21,60,0.000861865
0.1,22,63,0.000908379
0.1,23,63,0.000966249
0.1,24,59,0.000886099
0.1,25,61,0.00100941
0.1,26,63,0.000897262
0.1,27,64,0.00103593
0.1,28,60,0.000930547
0.1,29,60,0.000893609
0.1,30,62,0.00104935
0.2,1,34,0.00100872
0.2,2,31,0.000963348
0.2,3,30,0.000899007
0.2,4,32,0.000989728
0.2,5,32,0.00100216
0.2,6,33,0.000959365
0.2,7,31,0.000922765
0.2,8,35,0.00116237
0.2,9,32,0.00124099
0.2,10,35,0.00113509
0.2,11,31,0.000954485
0.2,12,30,0.00103812
0.2,13,33,0.00191435
0.2,14,33,0.00107547
0.2,15,31,0.000948434
0.2,16,32,0.0010662
0.2,17,33,0.00115124
0.2,18,32,0.000950874
0.2,19,31,0.00105326
0.2,20,30,0.000949807
0.2,21,31,0.000904334
0.2,22,33,0.00104731
0.2,23,31,0.000915337
0.2,24,32,0.00110186
0.2,25,34,0.00129981
0.2,26,32,0.000982533
0.2,27,30,0.00117697
0.2,28,33,0.00122619
0.2,29,32,0.0011364
0.2,30,32,0.00100516
0.3,1,21,0.00107343
0.3,2,21,0.00123439
0.3,3,21,0.00100493
0.3,4,24,0.0011143
0.3,5,20,0.0011395
0.3,6,22,0.00108053
0.3,7,25,0.00119309
0.3,8,21,0.00109092
0.3,9,23,0.00106696
0.3,10,23,0.00145102
0.3,11,22,0.00104266
0.3,12,20,0.00101991
0.3,13,23,0.00113903
0.3,14,22,0.00103239
0.3,15,22,0.00113119
0.3,16,22,0.00126954
0.3,17,20,0.00114106
0.3,18,23,0.00138169
0.3,19,22,0.00102469
0.3,20,20,0.000981788
0.3,21,20,0.00104509
0.3,22,23,0.00109415
0.3,23,23,0.00118837
0.3,24,24,0.00105969
0.3,25,20,0.00089044
