DENSITY,INSTANCE,VALOR,TIEMPO(ms)
0.7,10,9,0.000575731
0.7,11,10,0.000647207
0.7,12,8,0.000522326
0.7,13,8,0.000520541
0.7,14,7,0.000453794
0.7,15,7,0.000456652
0.7,16,9,0.000580914
0.7,17,10,0.000640779
0.7,18,9,0.0005877
0.7,19,8,0.000514129
0.7,20,9,0.000589046
0.7,21,9,0.000574453
0.7,22,9,0.000598894
0.7,23,8,0.000667046
0.7,24,9,0.000582457
0.7,25,8,0.000520111
0.7,26,8,0.000518008
0.7,27,9,0.000582125
0.7,28,8,0.000525203
0.7,29,8,0.000577107
0.7,30,8,0.000514178
0.8,1,7,0.000562203
0.8,2,7,0.000512502
0.8,3,7,0.000505601
0.8,4,8,0.00064102
0.8,5,7,0.000586038
0.8,6,7,0.000557178
0.8,7,6,0.000435882
0.8,8,7,0.000564995
0.8,9,7,0.000518649
0.8,10,6,0.000436328
0.8,11,7,0.000562123
0.8,12,8,0.000582726
0.8,13,7,0.000564898
0.8,14,7,0.000576523
0.8,15,7,0.000508873
0.8,16,7,0.000584412
0.8,17,6,0.000480575
0.8,18,6,0.000434347
0.8,19,7,0.000514504
0.8,20,6,0.000438016
0.8,21,7,0.000509699
0.8,22,6,0.000450508
0.8,23,6,0.000442747
0.8,24,6,0.000447644
0.8,25,7,0.000508482
0.8,26,7,0.0005194
0.8,27,6,0.000463257
0.8,28,6,0.000436292
0.8,29,7,0.000514552
0.8,30,7,0.000513486
0.9,1,5,0.000409405
0.9,2,6,0.000485352
0.9,3,5,0.000404319
0.9,4,5,0.000432239
0.9,5,6,0.000490843
0.9,6,5,0.000463303
0.9,7,5,0.000549685
0.9,8,6,0.000522932
0.9,9,5,0.000423344
0.9,10,5,0.000403717
0.9,11,5,0.000437376
0.9,12,4,0.000325735
0.9,13,4,0.000348873
0.9,14,5,0.00040401
0.9,15,5,0.00044346
0.9,16,6,0.000483465
0.9,17,5,0.000462459
0.9,18,5,0.00042212
0.9,19,5,0.000461619
0.9,20,5,0.000416613
0.9,21,6,0.000506457
0.9,22,6,0.000534264
0.9,23,6,0.000505858
0.9,24,6,0.000505515
0.9,25,6,0.000488826
0.9,26,5,0.000404181
0.9,27,5,0.000452821
0.9,28,5,0.000411416
0.9,29,6,0.00053366
0.9,30,6,0.000485563
