DENSITY,INSTANCE,VALOR,TIEMPO(ms)
0.1,1,58,0.00136251
0.1,2,56,0.000551324
0.1,3,56,0.00054495
0.1,4,62,0.00066622
0.1,5,61,0.000600707
0.1,6,59,0.00063488
0.1,7,55,0.000526703
0.1,8,54,0.000597792
0.1,9,54,0.000516484
0.1,10,53,0.000523655
0.1,11,56,0.000552569
0.1,12,59,0.00056424
0.1,13,57,0.000543348
0.1,14,56,0.000533485
0.1,15,55,0.000524469
0.1,16,58,0.00058133
0.1,17,60,0.000609794
0.1,18,57,0.000573694
0.1,19,60,0.000600951
0.1,20,59,0.0006135
0.1,21,57,0.000574592
0.1,22,56,0.000554707
0.1,23,53,0.000542312
0.1,24,58,0.000576961
0.1,25,59,0.000779476
0.1,26,55,0.000552857
0.1,27,60,0.000687225
0.1,28,56,0.000557331
0.1,29,56,0.000724517
0.1,30,57,0.000665731
0.2,1,28,0.000565454
0.2,2,32,0.000636419
0.2,3,32,0.000796196
0.2,4,35,0.000686601
0.2,5,31,0.000618236
0.2,6,33,0.000666176
0.2,7,29,0.000636938
0.2,8,29,0.000570684
0.2,9,31,0.000694001
0.2,10,32,0.000613036
0.2,11,32,0.00086806
0.2,12,31,0.000629022
0.2,13,30,0.00079556
0.2,14,30,0.00059556
0.2,15,31,0.000676661
0.2,16,30,0.000597069
0.2,17,33,0.000783176
0.2,18,33,0.000670745
0.2,19,29,0.000576427
0.2,20,30,0.000570513
0.2,21,31,0.000594845
0.2,22,33,0.000704524
0.2,23,31,0.000637748
0.2,24,32,0.000757363
0.2,25,29,0.000550081
0.2,26,29,0.000582244
0.2,27,32,0.000603822
0.2,28,32,0.000681096
0.2,29,31,0.000612889
0.2,30,29,0.000557166
0.3,1,21,0.000682968
0.3,2,22,0.00062629
0.3,3,20,0.000569488
0.3,4,19,0.00082022
0.3,5,21,0.000618366
0.3,6,19,0.000650248
0.3,7,21,0.000668728
0.3,8,22,0.000652603
0.3,9,19,0.000568057
0.3,10,21,0.000628235
0.3,11,20,0.000636394
0.3,12,21,0.000638357
0.3,13,20,0.000577079
0.3,14,22,0.000645902
0.3,15,20,0.000572068
0.3,16,23,0.000683708
0.3,17,21,0.000658256
0.3,18,20,0.000741181
0.3,19,20,0.000590622
0.3,20,21,0.000637753
0.3,21,20,0.000584129
0.3,22,20,0.000723733
0.3,23,22,0.000631108
0.3,24,22,0.000708926
0.3,25,22,0.000671241
0.3,26,21,0.000645152
0.3,27,19,0.000763773
0.3,28,21,0.000616731
0.3,29,22,0.000642034
0.3,30,21,0.000616541
0.4,1,16,0.000733263
0.4,2,15,0.000567947
0.4,3,15,0.000787397
0.4,4,15,0.000562095
0.4,5,15,0.000619897
0.4,6,14,0.000531437
0.4,7,16,0.000665152
0.4,8,14,0.000530174
0.4,9,17,0.000638764
0.4,10,18,0.000677588
0.4,11,15,0.00065044
0.4,12,18,0.000692121
0.4,13,15,0.000781106
0.4,14,16,0.000704861
0.4,15,15,0.000573608
0.4,16,16,0.000688854
0.4,17,15,0.000650217
0.4,18,16,0.000793951
0.4,19,16,0.000600924
0.4,20,15,0.000577636
0.4,21,16,0.000601465
0.4,22,16,0.000691035
0.4,23,16,0.00059928
0.4,24,16,0.000671232
0.4,25,16,0.000602504
0.4,26,15,0.000625368
0.4,27,14,0.000533026
0.4,28,16,0.000665383
0.4,29,16,0.000605224
0.4,30,16,0.000684084
0.5,1,14,0.000650528
0.5,2,12,0.000556786
0.5,3,10,0.000513507
0.5,4,12,0.000558738
0.5,5,12,0.000639386
0.5,6,12,0.000558823
0.5,7,11,0.000570158
0.5,8,13,0.000604337
0.5,9,12,0.000788903
0.5,10,13,0.000610055
0.5,11,13,0.000665947
0.5,12,12,0.000562427
0.5,13,11,0.000523815
0.5,14,12,0.000560423
0.5,15,13,0.000606092
0.5,16,13,0.000604635
0.5,17,12,0.000562903
0.5,18,12,0.000562919
0.5,19,13,0.000621102
0.5,20,13,0.000617811
0.5,21,12,0.000580291
0.5,22,11,0.000520447
0.5,23,11,0.000514136
0.5,24,11,0.00052424
0.5,25,12,0.000566709
0.5,26,12,0.000561017
0.5,27,12,0.00057256
0.5,28,12,0.000555395
0.5,29,13,0.000600054
0.5,30,12,0.00056155
0.6,1,10,0.000552661
0.6,2,10,0.00056019
0.6,3,10,0.00056751
0.6,4,10,0.000552945
0.6,5,9,0.000510362
0.6,6,10,0.000556082
0.6,7,10,0.000562556
0.6,8,10,0.000655593
0.6,9,10,0.000562429
0.6,10,10,0.000560762
0.6,11,11,0.000608044
0.6,12,9,0.000498893
0.6,13,10,0.000556048
0.6,14,10,0.000553965
0.6,15,9,0.000568447
0.6,16,10,0.000572858
0.6,17,10,0.000645986
0.6,18,10,0.000645927
0.6,19,10,0.000621821
0.6,20,10,0.000646536
0.6,21,9,0.000552411
0.6,22,10,0.000780039
0.6,23,10,0.000558608
0.6,24,9,0.000508793
0.6,25,10,0.000614813
0.6,26,10,0.000558665
0.6,27,10,0.000616415
0.6,28,10,0.000560314
0.6,29,9,0.000501255
0.6,30,10,0.000558362
0.7,1,9,0.000577987
0.7,2,8,0.000536184
0.7,3,8,0.000514586
0.7,4,9,0.000577494
0.7,5,7,0.000449618
0.7,6,7,0.000453502
0.7,7,9,0.000581152
0.7,8,8,0.000515706
0.7,9,8,0.000516457
