instancia,seed,job_id,nodo,valor_objetivo,tiempo_ejecucion,exito
erdos_n1000_p0c0.4_13,42,3961142,luthier20,,10,SI
erdos_n1000_p0c0.4_14,42,3961143,luthier20,,10,SI
erdos_n1000_p0c0.4_15,42,3961144,luthier21,,10,SI
erdos_n1000_p0c0.4_16,42,3961145,luthier21,,10,SI
erdos_n1000_p0c0.4_17,42,3961146,luthier18,,10,SI
erdos_n1000_p0c0.4_18,42,3961147,luthier25,,10,SI
erdos_n1000_p0c0.4_19,42,3961148,luthier25,,10,SI
erdos_n1000_p0c0.4_1,42,3961130,luthier23,,10,SI
erdos_n1000_p0c0.4_20,42,3961149,luthier18,,10,SI
erdos_n1000_p0c0.4_21,42,3961150,luthier22,,10,SI
erdos_n1000_p0c0.4_22,42,3961151,luthier30,,10,SI
erdos_n1000_p0c0.4_23,42,3961152,luthier30,,10,SI
erdos_n1000_p0c0.4_24,42,3961153,luthier30,,10,SI
erdos_n1000_p0c0.4_25,42,3961154,luthier26,,10,SI
erdos_n1000_p0c0.4_26,42,3961155,luthier26,,10,SI
erdos_n1000_p0c0.4_27,42,3961156,luthier26,,10,SI
erdos_n1000_p0c0.4_28,42,3961157,luthier24,,10,SI
erdos_n1000_p0c0.4_29,42,3961158,luthier25,,10,SI
erdos_n1000_p0c0.4_2,42,3961131,luthier23,,10,SI
erdos_n1000_p0c0.4_30,42,3961159,luthier27,,10,SI
erdos_n1000_p0c0.4_3,42,3961132,luthier23,,10,SI
erdos_n1000_p0c0.4_4,42,3961133,luthier29,,10,SI
erdos_n1000_p0c0.4_5,42,3961134,luthier28,,10,SI
erdos_n1000_p0c0.4_6,42,3961135,luthier18,,10,SI
erdos_n1000_p0c0.4_7,42,3961136,luthier28,,10,SI
erdos_n1000_p0c0.4_8,42,3961137,luthier29,,10,SI
erdos_n1000_p0c0.4_9,42,3961138,luthier28,,10,SI
erdos_n1000_p0c0.5_10,42,3961169,luthier17,,10,SI
erdos_n1000_p0c0.5_11,42,3961170,luthier17,,10,SI
erdos_n1000_p0c0.5_12,42,3961171,luthier17,,10,SI
erdos_n1000_p0c0.5_13,42,3961172,luthier23,,10,SI
erdos_n1000_p0c0.5_14,42,3961173,luthier23,,10,SI
erdos_n1000_p0c0.5_15,42,3961174,luthier23,,10,SI
erdos_n1000_p0c0.5_16,42,3961175,luthier28,,10,SI
erdos_n1000_p0c0.5_17,42,3961176,luthier28,,10,SI
erdos_n1000_p0c0.5_18,42,3961177,luthier18,,10,SI
erdos_n1000_p0c0.5_19,42,3961178,luthier28,,10,SI
