inst	nstr	length	t	GREEDY	SA	BRKGA
799	3000	3000	0.9	5	6	7
800	3000	3000	0.9	5	6	7
801	3000	3000	0.9	6	6	7
802	3000	3000	0.9	5	6	8
803	3000	3000	0.9	5	6	7
804	3000	3000	0.9	5	6	7
805	3000	3000	0.9	5	6	7
806	3000	3000	0.9	6	6	7
807	3000	3000	0.9	6	6	7
808	3000	3000	0.9	5	6	8
809	3000	3000	0.9	5	6	7
810	3000	3000	0.9	6	6	7
